Artist,Title,Label,Path,Chorus_Path,extracted_chorus_path
Olivia Rodrigo,Traitor,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Traitor - Olivia Rodrigo.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Traitor - Olivia Rodrigo.mp3.wav,Extract_Chorus/Traitor - Olivia Rodrigo.wav
BTS,Dynamite,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Dynamite - BTS.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Dynamite - BTS.mp3.wav,Extract_Chorus/Dynamite - BTS.wav
Doja Cat,Need To Know,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Need To Know - Doja Cat.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Need To Know - Doja Cat.mp3.wav,Extract_Chorus/Need To Know - Doja Cat.wav
Taylor Swift,Willow,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Willow - Taylor Swift.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Willow - Taylor Swift.mp3.wav,Extract_Chorus/Willow - Taylor Swift.wav
Luke Combs,Better Together,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Better Together - Luke Combs.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Better Together - Luke Combs.mp3.wav,Extract_Chorus/Better Together - Luke Combs.wav
Doja Cat,Streets,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Streets - Doja Cat.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Streets - Doja Cat.mp3.wav,Extract_Chorus/Streets - Doja Cat.wav
Drake,What's Next,1,/home/yamen/Projects/Technocolabs/sample_data/popular/What's Next - Drake.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/What's Next - Drake.mp3.wav,Extract_Chorus/What's Next - Drake.wav
Roddy Ricch,Late At Night,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Late At Night - Roddy Ricch.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Late At Night - Roddy Ricch.mp3.wav,Extract_Chorus/Late At Night - Roddy Ricch.wav
Justin Bieber,Anyone,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Anyone - Justin Bieber.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Anyone - Justin Bieber.mp3.wav,Extract_Chorus/Anyone - Justin Bieber.wav
Ariana Grande,pov,1,/home/yamen/Projects/Technocolabs/sample_data/popular/pov - Ariana Grande.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/pov - Ariana Grande.mp3.wav,Extract_Chorus/pov - Ariana Grande.wav
The Weeknd,Take My Breath,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Take My Breath - The Weeknd.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Take My Breath - The Weeknd.mp3.wav,Extract_Chorus/Take My Breath - The Weeknd.wav
Billie Eilish,Happier Than Ever,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Happier Than Ever - Billie Eilish.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Happier Than Ever - Billie Eilish.mp3.wav,Extract_Chorus/Happier Than Ever - Billie Eilish.wav
Post Malone,Circles,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Circles - Post Malone.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Circles - Post Malone.mp3.wav,Extract_Chorus/Circles - Post Malone.wav
Roddy Ricch,The Box,1,/home/yamen/Projects/Technocolabs/sample_data/popular/The Box - Roddy Ricch.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/The Box - Roddy Ricch.mp3.wav,Extract_Chorus/The Box - Roddy Ricch.wav
Harry Styles,Adore You,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Adore You - Harry Styles.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Adore You - Harry Styles.mp3.wav,Extract_Chorus/Adore You - Harry Styles.wav
Maroon 5,Memories,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Memories - Maroon 5.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Memories - Maroon 5.mp3.wav,Extract_Chorus/Memories - Maroon 5.wav
Doja Cat,Say So,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Say So - Doja Cat.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Say So - Doja Cat.mp3.wav,Extract_Chorus/Say So - Doja Cat.wav
Billie Eilish,Everything I Wanted,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Everything I Wanted - Billie Eilish.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Everything I Wanted - Billie Eilish.mp3.wav,Extract_Chorus/Everything I Wanted - Billie Eilish.wav
Harry Styles,Watermelon Sugar,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Watermelon Sugar - Harry Styles.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Watermelon Sugar - Harry Styles.mp3.wav,Extract_Chorus/Watermelon Sugar - Harry Styles.wav
The Weeknd,Heartless,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Heartless - The Weeknd.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Heartless - The Weeknd.mp3.wav,Extract_Chorus/Heartless - The Weeknd.wav
DaBaby,BOP,1,/home/yamen/Projects/Technocolabs/sample_data/popular/BOP - DaBaby.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/BOP - DaBaby.mp3.wav,Extract_Chorus/BOP - DaBaby.wav
Drake,Toosie Slide,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Toosie Slide - Drake.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Toosie Slide - Drake.mp3.wav,Extract_Chorus/Toosie Slide - Drake.wav
Morgan Wallen,Chasin' You,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Chasin' You - Morgan Wallen.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Chasin' You - Morgan Wallen.mp3.wav,Extract_Chorus/Chasin' You - Morgan Wallen.wav
Lil Baby,Woah,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Woah - Lil Baby.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Woah - Lil Baby.mp3.wav,Extract_Chorus/Woah - Lil Baby.wav
Travis Scott,HIGHEST IN THE ROOM,1,/home/yamen/Projects/Technocolabs/sample_data/popular/HIGHEST IN THE ROOM - Travis Scott.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/HIGHEST IN THE ROOM - Travis Scott.mp3.wav,Extract_Chorus/HIGHEST IN THE ROOM - Travis Scott.wav
Billie Eilish,Bad Guy,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Bad Guy - Billie Eilish.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Bad Guy - Billie Eilish.mp3.wav,Extract_Chorus/Bad Guy - Billie Eilish.wav
Justin Bieber,Yummy,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Yummy - Justin Bieber.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Yummy - Justin Bieber.mp3.wav,Extract_Chorus/Yummy - Justin Bieber.wav
Lil Nas X,Panini,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Panini - Lil Nas X.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Panini - Lil Nas X.mp3.wav,Extract_Chorus/Panini - Lil Nas X.wav
Lil Baby,Emotionally Scarred,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Emotionally Scarred - Lil Baby.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Emotionally Scarred - Lil Baby.mp3.wav,Extract_Chorus/Emotionally Scarred - Lil Baby.wav
Lil Baby,The Bigger Picture,1,/home/yamen/Projects/Technocolabs/sample_data/popular/The Bigger Picture - Lil Baby.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/The Bigger Picture - Lil Baby.mp3.wav,Extract_Chorus/The Bigger Picture - Lil Baby.wav
Jonas Brothers,Only Human,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Only Human - Jonas Brothers.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Only Human - Jonas Brothers.mp3.wav,Extract_Chorus/Only Human - Jonas Brothers.wav
Lil Baby,Sum 2 Prove,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Sum 2 Prove - Lil Baby.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Sum 2 Prove - Lil Baby.mp3.wav,Extract_Chorus/Sum 2 Prove - Lil Baby.wav
Halsey,You Should Be Sad,1,/home/yamen/Projects/Technocolabs/sample_data/popular/You Should Be Sad - Halsey.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/You Should Be Sad - Halsey.mp3.wav,Extract_Chorus/You Should Be Sad - Halsey.wav
Pop Smoke,Dior,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Dior - Pop Smoke.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Dior - Pop Smoke.mp3.wav,Extract_Chorus/Dior - Pop Smoke.wav
Luke Combs,Even Though I'm Leaving,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Even Though I'm Leaving - Luke Combs.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Even Though I'm Leaving - Luke Combs.mp3.wav,Extract_Chorus/Even Though I'm Leaving - Luke Combs.wav
Juice WRLD,Wishing Well,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Wishing Well - Juice WRLD.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Wishing Well - Juice WRLD.mp3.wav,Extract_Chorus/Wishing Well - Juice WRLD.wav
Morgan Wallen,More Than My Hometown,1,/home/yamen/Projects/Technocolabs/sample_data/popular/More Than My Hometown - Morgan Wallen.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/More Than My Hometown - Morgan Wallen.mp3.wav,Extract_Chorus/More Than My Hometown - Morgan Wallen.wav
Luke Combs,Lovin' On You,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Lovin' On You - Luke Combs.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Lovin' On You - Luke Combs.mp3.wav,Extract_Chorus/Lovin' On You - Luke Combs.wav
Halsey,Without Me,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Without Me - Halsey.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Without Me - Halsey.mp3.wav,Extract_Chorus/Without Me - Halsey.wav
Post Malone,Wow.,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Wow. - Post Malone.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Wow. - Post Malone.mp3.wav,Extract_Chorus/Wow. - Post Malone.wav
Ariana Grande,7 Rings,1,/home/yamen/Projects/Technocolabs/sample_data/popular/7 Rings - Ariana Grande.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/7 Rings - Ariana Grande.mp3.wav,Extract_Chorus/7 Rings - Ariana Grande.wav
Khalid,Talk,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Talk - Khalid.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Talk - Khalid.mp3.wav,Extract_Chorus/Talk - Khalid.wav
Travis Scott,Sicko Mode,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Sicko Mode - Travis Scott.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Sicko Mode - Travis Scott.mp3.wav,Extract_Chorus/Sicko Mode - Travis Scott.wav
Jonas Brothers,Sucker,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Sucker - Jonas Brothers.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Sucker - Jonas Brothers.mp3.wav,Extract_Chorus/Sucker - Jonas Brothers.wav
Ariana Grande,"Thank U, Next",1,"/home/yamen/Projects/Technocolabs/sample_data/popular/Thank U, Next - Ariana Grande.mp3","/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Thank U, Next - Ariana Grande.mp3.wav","Extract_Chorus/Thank U, Next - Ariana Grande.wav"
Khalid,Better,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Better - Khalid.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Better - Khalid.mp3.wav,Extract_Chorus/Better - Khalid.wav
DaBaby,Suge,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Suge - DaBaby.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Suge - DaBaby.mp3.wav,Extract_Chorus/Suge - DaBaby.wav
Shawn Mendes,If I Can't Have You,1,/home/yamen/Projects/Technocolabs/sample_data/popular/If I Can't Have You - Shawn Mendes.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/If I Can't Have You - Shawn Mendes.mp3.wav,Extract_Chorus/If I Can't Have You - Shawn Mendes.wav
Post Malone,Better Now,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Better Now - Post Malone.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Better Now - Post Malone.mp3.wav,Extract_Chorus/Better Now - Post Malone.wav
Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",1,"/home/yamen/Projects/Technocolabs/sample_data/popular/Break Up With Your Girlfriend, I'm Bored - Ariana Grande.mp3","/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Break Up With Your Girlfriend, I'm Bored - Ariana Grande.mp3.wav","Extract_Chorus/Break Up With Your Girlfriend, I'm Bored - Ariana Grande.wav"
Cardi B,Money,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Money - Cardi B.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Money - Cardi B.mp3.wav,Extract_Chorus/Money - Cardi B.wav
Taylor Swift,You Need To Calm Down,1,/home/yamen/Projects/Technocolabs/sample_data/popular/You Need To Calm Down - Taylor Swift.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/You Need To Calm Down - Taylor Swift.mp3.wav,Extract_Chorus/You Need To Calm Down - Taylor Swift.wav
Luke Combs,Beautiful Crazy,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Beautiful Crazy - Luke Combs.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Beautiful Crazy - Luke Combs.mp3.wav,Extract_Chorus/Beautiful Crazy - Luke Combs.wav
Juice WRLD,Lucid Dreams,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Lucid Dreams - Juice WRLD.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Lucid Dreams - Juice WRLD.mp3.wav,Extract_Chorus/Lucid Dreams - Juice WRLD.wav
Morgan Wallen,Whiskey Glasses,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Whiskey Glasses - Morgan Wallen.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Whiskey Glasses - Morgan Wallen.mp3.wav,Extract_Chorus/Whiskey Glasses - Morgan Wallen.wav
Luke Combs,Beer Never Broke My Heart,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Beer Never Broke My Heart - Luke Combs.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Beer Never Broke My Heart - Luke Combs.mp3.wav,Extract_Chorus/Beer Never Broke My Heart - Luke Combs.wav
Billie Eilish,When The Party's Over,1,/home/yamen/Projects/Technocolabs/sample_data/popular/When The Party's Over - Billie Eilish.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/When The Party's Over - Billie Eilish.mp3.wav,Extract_Chorus/When The Party's Over - Billie Eilish.wav
Ariana Grande,Breathin,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Breathin - Ariana Grande.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Breathin - Ariana Grande.mp3.wav,Extract_Chorus/Breathin - Ariana Grande.wav
Billie Eilish,Bury A Friend,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Bury A Friend - Billie Eilish.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Bury A Friend - Billie Eilish.mp3.wav,Extract_Chorus/Bury A Friend - Billie Eilish.wav
Lil Baby,Close Friends,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Close Friends - Lil Baby.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Close Friends - Lil Baby.mp3.wav,Extract_Chorus/Close Friends - Lil Baby.wav
Sam Smith,How Do You Sleep?,1,/home/yamen/Projects/Technocolabs/sample_data/popular/How Do You Sleep? - Sam Smith.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/How Do You Sleep? - Sam Smith.mp3.wav,Extract_Chorus/How Do You Sleep? - Sam Smith.wav
P!nk,Walk Me Home,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Walk Me Home - P!nk.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Walk Me Home - P!nk.mp3.wav,Extract_Chorus/Walk Me Home - P!nk.wav
Juice WRLD,Robbery,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Robbery - Juice WRLD.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Robbery - Juice WRLD.mp3.wav,Extract_Chorus/Robbery - Juice WRLD.wav
Drake,God's Plan,1,/home/yamen/Projects/Technocolabs/sample_data/popular/God's Plan - Drake.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/God's Plan - Drake.mp3.wav,Extract_Chorus/God's Plan - Drake.wav
Ed Sheeran,Perfect,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Perfect - Ed Sheeran.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Perfect - Ed Sheeran.mp3.wav,Extract_Chorus/Perfect - Ed Sheeran.wav
Drake,In My Feelings,1,/home/yamen/Projects/Technocolabs/sample_data/popular/In My Feelings - Drake.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/In My Feelings - Drake.mp3.wav,Extract_Chorus/In My Feelings - Drake.wav
Drake,Nice For What,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Nice For What - Drake.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Nice For What - Drake.mp3.wav,Extract_Chorus/Nice For What - Drake.wav
XXXTENTACION,Sad!,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Sad! - XXXTENTACION.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Sad! - XXXTENTACION.mp3.wav,Extract_Chorus/Sad! - XXXTENTACION.wav
Camila Cabello,Never Be The Same,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Never Be The Same - Camila Cabello.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Never Be The Same - Camila Cabello.mp3.wav,Extract_Chorus/Never Be The Same - Camila Cabello.wav
Ariana Grande,No Tears Left To Cry,1,/home/yamen/Projects/Technocolabs/sample_data/popular/No Tears Left To Cry - Ariana Grande.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/No Tears Left To Cry - Ariana Grande.mp3.wav,Extract_Chorus/No Tears Left To Cry - Ariana Grande.wav
Imagine Dragons,Thunder,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Thunder - Imagine Dragons.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Thunder - Imagine Dragons.mp3.wav,Extract_Chorus/Thunder - Imagine Dragons.wav
Taylor Swift,Delicate,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Delicate - Taylor Swift.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Delicate - Taylor Swift.mp3.wav,Extract_Chorus/Delicate - Taylor Swift.wav
Halsey,Bad At Love,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Bad At Love - Halsey.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Bad At Love - Halsey.mp3.wav,Extract_Chorus/Bad At Love - Halsey.wav
Imagine Dragons,Whatever It Takes,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Whatever It Takes - Imagine Dragons.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Whatever It Takes - Imagine Dragons.mp3.wav,Extract_Chorus/Whatever It Takes - Imagine Dragons.wav
Post Malone,I Fall Apart,1,/home/yamen/Projects/Technocolabs/sample_data/popular/I Fall Apart - Post Malone.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/I Fall Apart - Post Malone.mp3.wav,Extract_Chorus/I Fall Apart - Post Malone.wav
Shawn Mendes,In My Blood,1,/home/yamen/Projects/Technocolabs/sample_data/popular/In My Blood - Shawn Mendes.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/In My Blood - Shawn Mendes.mp3.wav,Extract_Chorus/In My Blood - Shawn Mendes.wav
