Artist,Title,Label,Path,Chorus_Path
Billie Eilish,Therefore I Am,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Therefore I Am - Billie Eilish.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Therefore I Am - Billie Eilish.mp3.wav
Cardi B,Up,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Up - Cardi B.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Up - Cardi B.mp3.wav
Lil Baby,On Me,1,/home/yamen/Projects/Technocolabs/sample_data/popular/On Me - Lil Baby.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/On Me - Lil Baby.mp3.wav
Olivia Rodrigo,Traitor,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Traitor - Olivia Rodrigo.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Traitor - Olivia Rodrigo.mp3.wav
BTS,Dynamite,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Dynamite - BTS.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Dynamite - BTS.mp3.wav
Doja Cat,Need To Know,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Need To Know - Doja Cat.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Need To Know - Doja Cat.mp3.wav
Taylor Swift,Willow,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Willow - Taylor Swift.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Willow - Taylor Swift.mp3.wav
Luke Combs,Better Together,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Better Together - Luke Combs.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Better Together - Luke Combs.mp3.wav
Doja Cat,Streets,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Streets - Doja Cat.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Streets - Doja Cat.mp3.wav
Drake,What's Next,1,/home/yamen/Projects/Technocolabs/sample_data/popular/What's Next - Drake.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/What's Next - Drake.mp3.wav
Roddy Ricch,Late At Night,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Late At Night - Roddy Ricch.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Late At Night - Roddy Ricch.mp3.wav
Justin Bieber,Anyone,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Anyone - Justin Bieber.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Anyone - Justin Bieber.mp3.wav
Ariana Grande,pov,1,/home/yamen/Projects/Technocolabs/sample_data/popular/pov - Ariana Grande.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/pov - Ariana Grande.mp3.wav
The Weeknd,Take My Breath,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Take My Breath - The Weeknd.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Take My Breath - The Weeknd.mp3.wav
Billie Eilish,Happier Than Ever,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Happier Than Ever - Billie Eilish.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Happier Than Ever - Billie Eilish.mp3.wav
Post Malone,Circles,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Circles - Post Malone.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Circles - Post Malone.mp3.wav
Roddy Ricch,The Box,1,/home/yamen/Projects/Technocolabs/sample_data/popular/The Box - Roddy Ricch.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/The Box - Roddy Ricch.mp3.wav
Harry Styles,Adore You,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Adore You - Harry Styles.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Adore You - Harry Styles.mp3.wav
Maroon 5,Memories,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Memories - Maroon 5.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Memories - Maroon 5.mp3.wav
Doja Cat,Say So,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Say So - Doja Cat.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Say So - Doja Cat.mp3.wav
Billie Eilish,Everything I Wanted,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Everything I Wanted - Billie Eilish.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Everything I Wanted - Billie Eilish.mp3.wav
Harry Styles,Watermelon Sugar,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Watermelon Sugar - Harry Styles.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Watermelon Sugar - Harry Styles.mp3.wav
The Weeknd,Heartless,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Heartless - The Weeknd.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Heartless - The Weeknd.mp3.wav
DaBaby,BOP,1,/home/yamen/Projects/Technocolabs/sample_data/popular/BOP - DaBaby.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/BOP - DaBaby.mp3.wav
Drake,Toosie Slide,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Toosie Slide - Drake.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Toosie Slide - Drake.mp3.wav
Morgan Wallen,Chasin' You,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Chasin' You - Morgan Wallen.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Chasin' You - Morgan Wallen.mp3.wav
Lil Baby,Woah,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Woah - Lil Baby.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Woah - Lil Baby.mp3.wav
Travis Scott,HIGHEST IN THE ROOM,1,/home/yamen/Projects/Technocolabs/sample_data/popular/HIGHEST IN THE ROOM - Travis Scott.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/HIGHEST IN THE ROOM - Travis Scott.mp3.wav
Billie Eilish,Bad Guy,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Bad Guy - Billie Eilish.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Bad Guy - Billie Eilish.mp3.wav
Justin Bieber,Yummy,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Yummy - Justin Bieber.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Yummy - Justin Bieber.mp3.wav
Lil Nas X,Panini,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Panini - Lil Nas X.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Panini - Lil Nas X.mp3.wav
Lil Baby,Emotionally Scarred,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Emotionally Scarred - Lil Baby.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Emotionally Scarred - Lil Baby.mp3.wav
Lil Baby,The Bigger Picture,1,/home/yamen/Projects/Technocolabs/sample_data/popular/The Bigger Picture - Lil Baby.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/The Bigger Picture - Lil Baby.mp3.wav
Jonas Brothers,Only Human,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Only Human - Jonas Brothers.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Only Human - Jonas Brothers.mp3.wav
Lil Baby,Sum 2 Prove,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Sum 2 Prove - Lil Baby.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Sum 2 Prove - Lil Baby.mp3.wav
Halsey,You Should Be Sad,1,/home/yamen/Projects/Technocolabs/sample_data/popular/You Should Be Sad - Halsey.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/You Should Be Sad - Halsey.mp3.wav
Pop Smoke,Dior,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Dior - Pop Smoke.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Dior - Pop Smoke.mp3.wav
Luke Combs,Even Though I'm Leaving,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Even Though I'm Leaving - Luke Combs.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Even Though I'm Leaving - Luke Combs.mp3.wav
Juice WRLD,Wishing Well,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Wishing Well - Juice WRLD.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Wishing Well - Juice WRLD.mp3.wav
Morgan Wallen,More Than My Hometown,1,/home/yamen/Projects/Technocolabs/sample_data/popular/More Than My Hometown - Morgan Wallen.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/More Than My Hometown - Morgan Wallen.mp3.wav
Luke Combs,Lovin' On You,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Lovin' On You - Luke Combs.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Lovin' On You - Luke Combs.mp3.wav
Halsey,Without Me,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Without Me - Halsey.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Without Me - Halsey.mp3.wav
Post Malone,Wow.,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Wow. - Post Malone.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Wow. - Post Malone.mp3.wav
Ariana Grande,7 Rings,1,/home/yamen/Projects/Technocolabs/sample_data/popular/7 Rings - Ariana Grande.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/7 Rings - Ariana Grande.mp3.wav
Khalid,Talk,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Talk - Khalid.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Talk - Khalid.mp3.wav
Travis Scott,Sicko Mode,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Sicko Mode - Travis Scott.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Sicko Mode - Travis Scott.mp3.wav
Jonas Brothers,Sucker,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Sucker - Jonas Brothers.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Sucker - Jonas Brothers.mp3.wav
Ariana Grande,"Thank U, Next",1,"/home/yamen/Projects/Technocolabs/sample_data/popular/Thank U, Next - Ariana Grande.mp3","/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Thank U, Next - Ariana Grande.mp3.wav"
Khalid,Better,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Better - Khalid.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Better - Khalid.mp3.wav
DaBaby,Suge,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Suge - DaBaby.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Suge - DaBaby.mp3.wav
Shawn Mendes,If I Can't Have You,1,/home/yamen/Projects/Technocolabs/sample_data/popular/If I Can't Have You - Shawn Mendes.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/If I Can't Have You - Shawn Mendes.mp3.wav
Post Malone,Better Now,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Better Now - Post Malone.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Better Now - Post Malone.mp3.wav
Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",1,"/home/yamen/Projects/Technocolabs/sample_data/popular/Break Up With Your Girlfriend, I'm Bored - Ariana Grande.mp3","/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Break Up With Your Girlfriend, I'm Bored - Ariana Grande.mp3.wav"
Cardi B,Money,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Money - Cardi B.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Money - Cardi B.mp3.wav
Taylor Swift,You Need To Calm Down,1,/home/yamen/Projects/Technocolabs/sample_data/popular/You Need To Calm Down - Taylor Swift.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/You Need To Calm Down - Taylor Swift.mp3.wav
Luke Combs,Beautiful Crazy,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Beautiful Crazy - Luke Combs.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Beautiful Crazy - Luke Combs.mp3.wav
Juice WRLD,Lucid Dreams,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Lucid Dreams - Juice WRLD.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Lucid Dreams - Juice WRLD.mp3.wav
Morgan Wallen,Whiskey Glasses,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Whiskey Glasses - Morgan Wallen.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Whiskey Glasses - Morgan Wallen.mp3.wav
Luke Combs,Beer Never Broke My Heart,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Beer Never Broke My Heart - Luke Combs.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Beer Never Broke My Heart - Luke Combs.mp3.wav
Billie Eilish,When The Party's Over,1,/home/yamen/Projects/Technocolabs/sample_data/popular/When The Party's Over - Billie Eilish.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/When The Party's Over - Billie Eilish.mp3.wav
Ariana Grande,Breathin,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Breathin - Ariana Grande.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Breathin - Ariana Grande.mp3.wav
Billie Eilish,Bury A Friend,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Bury A Friend - Billie Eilish.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Bury A Friend - Billie Eilish.mp3.wav
Lil Baby,Close Friends,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Close Friends - Lil Baby.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Close Friends - Lil Baby.mp3.wav
Sam Smith,How Do You Sleep?,1,/home/yamen/Projects/Technocolabs/sample_data/popular/How Do You Sleep? - Sam Smith.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/How Do You Sleep? - Sam Smith.mp3.wav
P!nk,Walk Me Home,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Walk Me Home - P!nk.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Walk Me Home - P!nk.mp3.wav
Juice WRLD,Robbery,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Robbery - Juice WRLD.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Robbery - Juice WRLD.mp3.wav
Drake,God's Plan,1,/home/yamen/Projects/Technocolabs/sample_data/popular/God's Plan - Drake.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/God's Plan - Drake.mp3.wav
Ed Sheeran,Perfect,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Perfect - Ed Sheeran.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Perfect - Ed Sheeran.mp3.wav
Drake,In My Feelings,1,/home/yamen/Projects/Technocolabs/sample_data/popular/In My Feelings - Drake.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/In My Feelings - Drake.mp3.wav
Drake,Nice For What,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Nice For What - Drake.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Nice For What - Drake.mp3.wav
XXXTENTACION,Sad!,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Sad! - XXXTENTACION.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Sad! - XXXTENTACION.mp3.wav
Camila Cabello,Never Be The Same,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Never Be The Same - Camila Cabello.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Never Be The Same - Camila Cabello.mp3.wav
Ariana Grande,No Tears Left To Cry,1,/home/yamen/Projects/Technocolabs/sample_data/popular/No Tears Left To Cry - Ariana Grande.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/No Tears Left To Cry - Ariana Grande.mp3.wav
Imagine Dragons,Thunder,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Thunder - Imagine Dragons.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Thunder - Imagine Dragons.mp3.wav
Taylor Swift,Delicate,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Delicate - Taylor Swift.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Delicate - Taylor Swift.mp3.wav
Halsey,Bad At Love,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Bad At Love - Halsey.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Bad At Love - Halsey.mp3.wav
Imagine Dragons,Whatever It Takes,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Whatever It Takes - Imagine Dragons.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Whatever It Takes - Imagine Dragons.mp3.wav
Post Malone,I Fall Apart,1,/home/yamen/Projects/Technocolabs/sample_data/popular/I Fall Apart - Post Malone.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/I Fall Apart - Post Malone.mp3.wav
Shawn Mendes,In My Blood,1,/home/yamen/Projects/Technocolabs/sample_data/popular/In My Blood - Shawn Mendes.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/In My Blood - Shawn Mendes.mp3.wav
Sam Smith,Too Good At Goodbyes,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Too Good At Goodbyes - Sam Smith.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Too Good At Goodbyes - Sam Smith.mp3.wav
Drake,Nonstop,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Nonstop - Drake.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Nonstop - Drake.mp3.wav
Cardi B,Bodak Yellow (Money Moves),1,/home/yamen/Projects/Technocolabs/sample_data/popular/Bodak Yellow (Money Moves) - Cardi B.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Bodak Yellow (Money Moves) - Cardi B.mp3.wav
Maroon 5,Wait,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Wait - Maroon 5.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Wait - Maroon 5.mp3.wav
Cardi B,Be Careful,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Be Careful - Cardi B.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Be Careful - Cardi B.mp3.wav
Ariana Grande,God Is A Woman,1,/home/yamen/Projects/Technocolabs/sample_data/popular/God Is A Woman - Ariana Grande.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/God Is A Woman - Ariana Grande.mp3.wav
Khalid,Young Dumb & Broke,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Young Dumb & Broke - Khalid.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Young Dumb & Broke - Khalid.mp3.wav
Imagine Dragons,Natural,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Natural - Imagine Dragons.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Natural - Imagine Dragons.mp3.wav
Ed Sheeran,Shape Of You,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Shape Of You - Ed Sheeran.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Shape Of You - Ed Sheeran.mp3.wav
The Weeknd,Call Out My Name,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Call Out My Name - The Weeknd.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Call Out My Name - The Weeknd.mp3.wav
Drake,I'm Upset,1,/home/yamen/Projects/Technocolabs/sample_data/popular/I'm Upset - Drake.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/I'm Upset - Drake.mp3.wav
XXXTENTACION,Moonlight,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Moonlight - XXXTENTACION.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Moonlight - XXXTENTACION.mp3.wav
XXXTENTACION,Changes,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Changes - XXXTENTACION.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Changes - XXXTENTACION.mp3.wav
Luke Combs,One Number Away,1,/home/yamen/Projects/Technocolabs/sample_data/popular/One Number Away - Luke Combs.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/One Number Away - Luke Combs.mp3.wav
Imagine Dragons,Believer,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Believer - Imagine Dragons.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Believer - Imagine Dragons.mp3.wav
Bruno Mars,That's What I Like,1,/home/yamen/Projects/Technocolabs/sample_data/popular/That's What I Like - Bruno Mars.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/That's What I Like - Bruno Mars.mp3.wav
Kendrick Lamar,Humble.,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Humble. - Kendrick Lamar.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Humble. - Kendrick Lamar.mp3.wav
Future,Mask Off,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Mask Off - Future.mp3,/home/yamen/Projects/Technocolabs/Chorus//home/yamen/Projects/Technocolabs/sample_data/popular/Mask Off - Future.mp3.wav
