Artist,Title,Label,Path
Jonas Brothers,Only Human,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Only Human - Jonas Brothers.mp3
Lil Baby,Sum 2 Prove,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Sum 2 Prove - Lil Baby.mp3
Halsey,You Should Be Sad,1,/home/yamen/Projects/Technocolabs/sample_data/popular/You Should Be Sad - Halsey.mp3
Pop Smoke,Dior,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Dior - Pop Smoke.mp3
Luke Combs,Even Though I'm Leaving,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Even Though I'm Leaving - Luke Combs.mp3
Juice WRLD,Wishing Well,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Wishing Well - Juice WRLD.mp3
Morgan Wallen,More Than My Hometown,1,/home/yamen/Projects/Technocolabs/sample_data/popular/More Than My Hometown - Morgan Wallen.mp3
Luke Combs,Lovin' On You,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Lovin' On You - Luke Combs.mp3
Halsey,Without Me,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Without Me - Halsey.mp3
Post Malone,Wow.,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Wow. - Post Malone.mp3
Ariana Grande,7 Rings,1,/home/yamen/Projects/Technocolabs/sample_data/popular/7 Rings - Ariana Grande.mp3
Khalid,Talk,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Talk - Khalid.mp3
Travis Scott,Sicko Mode,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Sicko Mode - Travis Scott.mp3
Jonas Brothers,Sucker,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Sucker - Jonas Brothers.mp3
Ariana Grande,"Thank U, Next",1,"/home/yamen/Projects/Technocolabs/sample_data/popular/Thank U, Next - Ariana Grande.mp3"
Khalid,Better,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Better - Khalid.mp3
DaBaby,Suge,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Suge - DaBaby.mp3
Shawn Mendes,If I Can't Have You,1,/home/yamen/Projects/Technocolabs/sample_data/popular/If I Can't Have You - Shawn Mendes.mp3
Post Malone,Better Now,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Better Now - Post Malone.mp3
Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",1,"/home/yamen/Projects/Technocolabs/sample_data/popular/Break Up With Your Girlfriend, I'm Bored - Ariana Grande.mp3"
Cardi B,Money,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Money - Cardi B.mp3
Taylor Swift,You Need To Calm Down,1,/home/yamen/Projects/Technocolabs/sample_data/popular/You Need To Calm Down - Taylor Swift.mp3
Luke Combs,Beautiful Crazy,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Beautiful Crazy - Luke Combs.mp3
Juice WRLD,Lucid Dreams,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Lucid Dreams - Juice WRLD.mp3
Morgan Wallen,Whiskey Glasses,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Whiskey Glasses - Morgan Wallen.mp3
Luke Combs,Beer Never Broke My Heart,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Beer Never Broke My Heart - Luke Combs.mp3
Billie Eilish,When The Party's Over,1,/home/yamen/Projects/Technocolabs/sample_data/popular/When The Party's Over - Billie Eilish.mp3
Ariana Grande,Breathin,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Breathin - Ariana Grande.mp3
Billie Eilish,Bury A Friend,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Bury A Friend - Billie Eilish.mp3
Lil Baby,Close Friends,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Close Friends - Lil Baby.mp3
Sam Smith,How Do You Sleep?,1,/home/yamen/Projects/Technocolabs/sample_data/popular/How Do You Sleep? - Sam Smith.mp3
P!nk,Walk Me Home,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Walk Me Home - P!nk.mp3
Juice WRLD,Robbery,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Robbery - Juice WRLD.mp3
Drake,God's Plan,1,/home/yamen/Projects/Technocolabs/sample_data/popular/God's Plan - Drake.mp3
Ed Sheeran,Perfect,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Perfect - Ed Sheeran.mp3
Drake,In My Feelings,1,/home/yamen/Projects/Technocolabs/sample_data/popular/In My Feelings - Drake.mp3
Drake,Nice For What,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Nice For What - Drake.mp3
XXXTENTACION,Sad!,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Sad! - XXXTENTACION.mp3
Camila Cabello,Never Be The Same,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Never Be The Same - Camila Cabello.mp3
Ariana Grande,No Tears Left To Cry,1,/home/yamen/Projects/Technocolabs/sample_data/popular/No Tears Left To Cry - Ariana Grande.mp3
Imagine Dragons,Thunder,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Thunder - Imagine Dragons.mp3
Taylor Swift,Delicate,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Delicate - Taylor Swift.mp3
Halsey,Bad At Love,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Bad At Love - Halsey.mp3
Imagine Dragons,Whatever It Takes,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Whatever It Takes - Imagine Dragons.mp3
Post Malone,I Fall Apart,1,/home/yamen/Projects/Technocolabs/sample_data/popular/I Fall Apart - Post Malone.mp3
Shawn Mendes,In My Blood,1,/home/yamen/Projects/Technocolabs/sample_data/popular/In My Blood - Shawn Mendes.mp3
Sam Smith,Too Good At Goodbyes,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Too Good At Goodbyes - Sam Smith.mp3
Drake,Nonstop,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Nonstop - Drake.mp3
Cardi B,Bodak Yellow (Money Moves),1,/home/yamen/Projects/Technocolabs/sample_data/popular/Bodak Yellow (Money Moves) - Cardi B.mp3
Maroon 5,Wait,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Wait - Maroon 5.mp3
Cardi B,Be Careful,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Be Careful - Cardi B.mp3
Ariana Grande,God Is A Woman,1,/home/yamen/Projects/Technocolabs/sample_data/popular/God Is A Woman - Ariana Grande.mp3
Khalid,Young Dumb & Broke,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Young Dumb & Broke - Khalid.mp3
Imagine Dragons,Natural,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Natural - Imagine Dragons.mp3
Ed Sheeran,Shape Of You,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Shape Of You - Ed Sheeran.mp3
The Weeknd,Call Out My Name,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Call Out My Name - The Weeknd.mp3
Drake,I'm Upset,1,/home/yamen/Projects/Technocolabs/sample_data/popular/I'm Upset - Drake.mp3
XXXTENTACION,Moonlight,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Moonlight - XXXTENTACION.mp3
XXXTENTACION,Changes,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Changes - XXXTENTACION.mp3
Luke Combs,One Number Away,1,/home/yamen/Projects/Technocolabs/sample_data/popular/One Number Away - Luke Combs.mp3
Imagine Dragons,Believer,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Believer - Imagine Dragons.mp3
Bruno Mars,That's What I Like,1,/home/yamen/Projects/Technocolabs/sample_data/popular/That's What I Like - Bruno Mars.mp3
Kendrick Lamar,Humble.,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Humble. - Kendrick Lamar.mp3
Future,Mask Off,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Mask Off - Future.mp3
Bruno Mars,24K Magic,1,/home/yamen/Projects/Technocolabs/sample_data/popular/24K Magic - Bruno Mars.mp3
Khalid,Location,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Location - Khalid.mp3
Shawn Mendes,There's Nothing Holdin' Me Back,1,/home/yamen/Projects/Technocolabs/sample_data/popular/There's Nothing Holdin' Me Back - Shawn Mendes.mp3
Rihanna,Love On The Brain,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Love On The Brain - Rihanna.mp3
Drake,Fake Love,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Fake Love - Drake.mp3
Taylor Swift,Look What You Made Me Do,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Look What You Made Me Do - Taylor Swift.mp3
Ed Sheeran,Castle On The Hill,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Castle On The Hill - Ed Sheeran.mp3
The Chainsmokers,Paris,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Paris - The Chainsmokers.mp3
Justin Timberlake,Can't Stop The Feeling!,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Can't Stop The Feeling! - Justin Timberlake.mp3
Shawn Mendes,Mercy,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Mercy - Shawn Mendes.mp3
twenty one pilots,Heathens,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Heathens - twenty one pilots.mp3
Halsey,Now Or Never,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Now Or Never - Halsey.mp3
Kendrick Lamar,DNA.,1,/home/yamen/Projects/Technocolabs/sample_data/popular/DNA. - Kendrick Lamar.mp3
Drake,Passionfruit,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Passionfruit - Drake.mp3
Travis Scott,Goosebumps,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Goosebumps - Travis Scott.mp3
Luke Combs,Hurricane,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Hurricane - Luke Combs.mp3
P!nk,What About Us,1,/home/yamen/Projects/Technocolabs/sample_data/popular/What About Us - P!nk.mp3
Harry Styles,Sign Of The Times,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Sign Of The Times - Harry Styles.mp3
Adele,Water Under The Bridge,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Water Under The Bridge - Adele.mp3
Miley Cyrus,Malibu,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Malibu - Miley Cyrus.mp3
Shawn Mendes,Treat You Better,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Treat You Better - Shawn Mendes.mp3
XXXTENTACION,Look At Me!,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Look At Me! - XXXTENTACION.mp3
Justin Bieber,Love Yourself,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Love Yourself - Justin Bieber.mp3
Justin Bieber,Sorry,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Sorry - Justin Bieber.mp3
twenty one pilots,Stressed Out,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Stressed Out - twenty one pilots.mp3
Adele,Hello,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Hello - Adele.mp3
Rihanna,Needed Me,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Needed Me - Rihanna.mp3
twenty one pilots,Ride,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Ride - twenty one pilots.mp3
Shawn Mendes,Stitches,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Stitches - Shawn Mendes.mp3
Drake,Hotline Bling,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Hotline Bling - Drake.mp3
Adele,Send My Love (To Your New Lover),1,/home/yamen/Projects/Technocolabs/sample_data/popular/Send My Love (To Your New Lover) - Adele.mp3
Justin Bieber,What Do You Mean?,1,/home/yamen/Projects/Technocolabs/sample_data/popular/What Do You Mean? - Justin Bieber.mp3
The Weeknd,The Hills,1,/home/yamen/Projects/Technocolabs/sample_data/popular/The Hills - The Weeknd.mp3
P!nk,Just Like Fire,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Just Like Fire - P!nk.mp3
Ariana Grande,Dangerous Woman,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Dangerous Woman - Ariana Grande.mp3
Drake,Controlla,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Controlla - Drake.mp3
Meghan Trainor,No,1,/home/yamen/Projects/Technocolabs/sample_data/popular/No - Meghan Trainor.mp3
Ariana Grande,Into You,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Into You - Ariana Grande.mp3
The Weeknd,In The Night,1,/home/yamen/Projects/Technocolabs/sample_data/popular/In The Night - The Weeknd.mp3
Meghan Trainor,Me Too,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Me Too - Meghan Trainor.mp3
Post Malone,White Iverson,1,/home/yamen/Projects/Technocolabs/sample_data/popular/White Iverson - Post Malone.mp3
The Weeknd,Can't Feel My Face,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Can't Feel My Face - The Weeknd.mp3
Coldplay,Hymn For The Weekend,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Hymn For The Weekend - Coldplay.mp3
Travis Scott,Antidote,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Antidote - Travis Scott.mp3
Taylor Swift,Wildest Dreams,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Wildest Dreams - Taylor Swift.mp3
Adele,When We Were Young,1,/home/yamen/Projects/Technocolabs/sample_data/popular/When We Were Young - Adele.mp3
Chris Brown,Back To Sleep,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Back To Sleep - Chris Brown.mp3
Coldplay,Adventure Of A Lifetime,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Adventure Of A Lifetime - Coldplay.mp3
Future,Wicked,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Wicked - Future.mp3
Ed Sheeran,Thinking Out Loud,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Thinking Out Loud - Ed Sheeran.mp3
Fetty Wap,Trap Queen,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Trap Queen - Fetty Wap.mp3
Maroon 5,Sugar,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Sugar - Maroon 5.mp3
Taylor Swift,Blank Space,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Blank Space - Taylor Swift.mp3
The Weeknd,Earned It (Fifty Shades Of Grey),1,/home/yamen/Projects/Technocolabs/sample_data/popular/Earned It (Fifty Shades Of Grey) - The Weeknd.mp3
Taylor Swift,Shake It Off,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Shake It Off - Taylor Swift.mp3
Meghan Trainor,Lips Are Movin,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Lips Are Movin - Meghan Trainor.mp3
Sam Smith,I'm Not The Only One,1,/home/yamen/Projects/Technocolabs/sample_data/popular/I'm Not The Only One - Sam Smith.mp3
Meghan Trainor,All About That Bass,1,/home/yamen/Projects/Technocolabs/sample_data/popular/All About That Bass - Meghan Trainor.mp3
Taylor Swift,Style,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Style - Taylor Swift.mp3
Ed Sheeran,Photograph,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Photograph - Ed Sheeran.mp3
Maroon 5,Animals,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Animals - Maroon 5.mp3
Rihanna,B**** Better Have My Money,1,/home/yamen/Projects/Technocolabs/sample_data/popular/B**** Better Have My Money - Rihanna.mp3
Sam Smith,Stay With Me,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Stay With Me - Sam Smith.mp3
Beyonce,7/11,1,/home/yamen/Projects/Technocolabs/sample_data/popular/7/11 - Beyonce.mp3
One Direction,Drag Me Down,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Drag Me Down - One Direction.mp3
Ariana Grande,One Last Time,1,/home/yamen/Projects/Technocolabs/sample_data/popular/One Last Time - Ariana Grande.mp3
Meghan Trainor,Dear Future Husband,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Dear Future Husband - Meghan Trainor.mp3
Sam Smith,Lay Me Down,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Lay Me Down - Sam Smith.mp3
Ed Sheeran,Don't,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Don't - Ed Sheeran.mp3
One Direction,Night Changes,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Night Changes - One Direction.mp3
Drake,Back To Back,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Back To Back - Drake.mp3
Pharrell Williams,Happy,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Happy - Pharrell Williams.mp3
Imagine Dragons,Demons,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Demons - Imagine Dragons.mp3
One Direction,Story Of My Life,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Story Of My Life - One Direction.mp3
Maroon 5,Maps,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Maps - Maroon 5.mp3
Nicki Minaj,Anaconda,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Anaconda - Nicki Minaj.mp3
Miley Cyrus,Wrecking Ball,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Wrecking Ball - Miley Cyrus.mp3
Justin Timberlake,Not A Bad Thing,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Not A Bad Thing - Justin Timberlake.mp3
Katy Perry,Roar,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Roar - Katy Perry.mp3
Coldplay,A Sky Full Of Stars,1,/home/yamen/Projects/Technocolabs/sample_data/popular/A Sky Full Of Stars - Coldplay.mp3
Ed Sheeran,Sing,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Sing - Ed Sheeran.mp3
Imagine Dragons,Radioactive,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Radioactive - Imagine Dragons.mp3
Katy Perry,Birthday,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Birthday - Katy Perry.mp3
Beyonce,Partition,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Partition - Beyonce.mp3
Drake,0 To 100 / The Catch Up,1,/home/yamen/Projects/Technocolabs/sample_data/popular/0 To 100 / The Catch Up - Drake.mp3
Justin Timberlake,Mirrors,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Mirrors - Justin Timberlake.mp3
Bruno Mars,When I Was Your Man,1,/home/yamen/Projects/Technocolabs/sample_data/popular/When I Was Your Man - Bruno Mars.mp3
Bruno Mars,Locked Out Of Heaven,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Locked Out Of Heaven - Bruno Mars.mp3
Taylor Swift,I Knew You Were Trouble.,1,/home/yamen/Projects/Technocolabs/sample_data/popular/I Knew You Were Trouble. - Taylor Swift.mp3
Miley Cyrus,We Can't Stop,1,/home/yamen/Projects/Technocolabs/sample_data/popular/We Can't Stop - Miley Cyrus.mp3
Rihanna,Diamonds,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Diamonds - Rihanna.mp3
Bruno Mars,Treasure,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Treasure - Bruno Mars.mp3
Drake,Started From The Bottom,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Started From The Bottom - Drake.mp3
Maroon 5,Daylight,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Daylight - Maroon 5.mp3
Lady Gaga,Applause,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Applause - Lady Gaga.mp3
Maroon 5,One More Night,1,/home/yamen/Projects/Technocolabs/sample_data/popular/One More Night - Maroon 5.mp3
Imagine Dragons,It's Time,1,/home/yamen/Projects/Technocolabs/sample_data/popular/It's Time - Imagine Dragons.mp3
Maroon 5,Love Somebody,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Love Somebody - Maroon 5.mp3
P!nk,Try,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Try - P!nk.mp3
Ke$ha,Die Young,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Die Young - Ke$ha.mp3
Eminem,Berzerk,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Berzerk - Eminem.mp3
Rihanna,Pour It Up,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Pour It Up - Rihanna.mp3
Taylor Swift,22,1,/home/yamen/Projects/Technocolabs/sample_data/popular/22 - Taylor Swift.mp3
One Direction,Best Song Ever,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Best Song Ever - One Direction.mp3
Ed Sheeran,The A Team,1,/home/yamen/Projects/Technocolabs/sample_data/popular/The A Team - Ed Sheeran.mp3
Kendrick Lamar,Swimming Pools (Drank),1,/home/yamen/Projects/Technocolabs/sample_data/popular/Swimming Pools (Drank) - Kendrick Lamar.mp3
Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),1,/home/yamen/Projects/Technocolabs/sample_data/popular/Let Me Love You (Until You Learn To Love Yourself) - Ne-Yo.mp3
Nicki Minaj,Starships,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Starships - Nicki Minaj.mp3
One Direction,What Makes You Beautiful,1,/home/yamen/Projects/Technocolabs/sample_data/popular/What Makes You Beautiful - One Direction.mp3
Adele,Set Fire To The Rain,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Set Fire To The Rain - Adele.mp3
LMFAO,Sexy And I Know It,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Sexy And I Know It - LMFAO.mp3
Katy Perry,Wide Awake,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Wide Awake - Katy Perry.mp3
Rihanna,Where Have You Been,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Where Have You Been - Rihanna.mp3
Bruno Mars,It Will Rain,1,/home/yamen/Projects/Technocolabs/sample_data/popular/It Will Rain - Bruno Mars.mp3
Justin Bieber,Boyfriend,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Boyfriend - Justin Bieber.mp3
Katy Perry,Part Of Me,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Part Of Me - Katy Perry.mp3
Taylor Swift,We Are Never Ever Getting Back Together,1,/home/yamen/Projects/Technocolabs/sample_data/popular/We Are Never Ever Getting Back Together - Taylor Swift.mp3
P!nk,Blow Me (One Last Kiss),1,/home/yamen/Projects/Technocolabs/sample_data/popular/Blow Me (One Last Kiss) - P!nk.mp3
Katy Perry,The One That Got Away,1,/home/yamen/Projects/Technocolabs/sample_data/popular/The One That Got Away - Katy Perry.mp3
Adele,Someone Like You,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Someone Like You - Adele.mp3
Usher,Scream,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Scream - Usher.mp3
Chris Brown,Don't Wake Me Up,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Don't Wake Me Up - Chris Brown.mp3
Adele,Rumour Has It,1,/home/yamen/Projects/Technocolabs/sample_data/popular/Rumour Has It - Adele.mp3
